algoritmo,semente,cliente_id,grupo,mse_global,mse_personalizado
fedprox (mu=0.05),3,4,baixa_heterog,1.375415020657531,0.9355648934586134
fedprox (mu=0.05),3,5,baixa_heterog,7.182887888642416,1.3583084713386322
fedprox (mu=0.05),3,6,alta_heterog,1.755161423455064,1.4292310432754516
fedprox (mu=0.05),3,7,alta_heterog,1.8082290405503925,1.6374214146582937
fedprox (mu=0.05),3,8,alta_heterog,2.1444890446090925,1.7738787892780656
fedprox (mu=0.05),3,9,alta_heterog,1.9345078588016833,1.4935552214855226
fedprox (mu=0.05),4,0,baixa_heterog,4.615959294414973,1.8353075395822103
fedprox (mu=0.05),4,1,baixa_heterog,4.959826434366865,1.435734703244778
fedprox (mu=0.05),4,2,baixa_heterog,4.288073813167238,2.095188345322643
fedprox (mu=0.05),4,3,baixa_heterog,4.325236423021324,1.8311477645552408
fedprox (mu=0.05),4,4,baixa_heterog,6.47849623687709,1.6255270349720101
fedprox (mu=0.05),4,5,baixa_heterog,4.602421037541771,1.7050871441797557
fedprox (mu=0.05),4,6,alta_heterog,11.458516137439597,2.596878569513309
fedprox (mu=0.05),4,7,alta_heterog,8.615342439486474,3.224680660251958
fedprox (mu=0.05),4,8,alta_heterog,6.304409623582865,2.4864592819661047
fedprox (mu=0.05),4,9,alta_heterog,17.159205750535374,2.882901978998762
fedprox (mu=0.05),5,0,baixa_heterog,9.200007841403908,3.016307107473233
fedprox (mu=0.05),5,1,baixa_heterog,11.32623999672007,2.339249862545745
fedprox (mu=0.05),5,2,baixa_heterog,7.306611469602083,2.2341209266951476
fedprox (mu=0.05),5,3,baixa_heterog,11.346623421597334,1.724788198562151
fedprox (mu=0.05),5,4,baixa_heterog,12.388540853332046,3.3128268272107158
fedprox (mu=0.05),5,5,baixa_heterog,25.644651220862258,5.892765796103121
fedprox (mu=0.05),5,6,alta_heterog,15.479839143609206,4.031601011379003
fedprox (mu=0.05),5,7,alta_heterog,9.498480394334283,2.060657811226762
fedprox (mu=0.05),5,8,alta_heterog,12.555385956726843,3.94803323190844
fedprox (mu=0.05),5,9,alta_heterog,1.4659428803833567,1.3975614578640327
