janela,rodada,cliente_id,selecionado,falhou,tempo_execucao,tamanho_lote,mse_treino,mse_teste
3,3,9,0,0,0.0,0,0.0,0.0
3,3,2,1,0,0.0,0,2.091157,0.0
3,3,3,1,0,0.0,0,2.246094,0.0
3,3,4,1,0,0.0,0,2.380572,0.0
3,3,5,1,0,0.0,0,8.128449,0.0
3,3,6,1,0,0.0,0,7.681124,0.0
3,3,8,1,0,0.0,0,5.681627,0.0
3,4,0,1,0,0.000105,80,0.0,0.0
3,4,1,0,0,0.0,0,0.0,0.0
3,4,2,1,0,9.8e-05,80,0.0,0.0
3,4,3,1,0,9.4e-05,80,0.0,0.0
3,4,4,1,0,9.3e-05,80,0.0,0.0
3,4,5,1,0,9.4e-05,80,0.0,0.0
3,4,6,0,0,0.0,0,0.0,0.0
3,4,7,0,0,0.0,0,0.0,0.0
3,4,8,0,0,0.0,0,0.0,0.0
3,4,9,1,0,9.6e-05,80,0.0,0.0
3,4,0,1,0,0.0,0,2.704113,0.0
3,4,2,1,0,0.0,0,2.03921,0.0
3,4,3,1,0,0.0,0,2.368298,0.0
3,4,4,1,0,0.0,0,2.112313,0.0
3,4,5,1,0,0.0,0,7.42624,0.0
3,4,9,1,0,0.0,0,4.282454,0.0
3,5,0,1,0,9.4e-05,80,0.0,0.0
3,5,1,1,0,9.4e-05,80,0.0,0.0
3,5,2,1,0,9.5e-05,80,0.0,0.0
3,5,3,1,0,9.4e-05,80,0.0,0.0
3,5,4,0,0,0.0,0,0.0,0.0
3,5,5,0,0,0.0,0,0.0,0.0
3,5,6,0,0,0.0,0,0.0,0.0
3,5,7,0,0,0.0,0,0.0,0.0
3,5,8,1,0,9.6e-05,80,0.0,0.0
3,5,9,1,0,9.5e-05,80,0.0,0.0
3,5,0,1,0,0.0,0,2.674044,0.0
3,5,1,1,0,0.0,0,2.146394,0.0
3,5,2,1,0,0.0,0,2.150315,0.0
3,5,3,1,0,0.0,0,1.892753,0.0
3,5,8,1,0,0.0,0,4.688414,0.0
3,5,9,1,0,0.0,0,3.720935,0.0
3,6,0,1,0,9.4e-05,80,0.0,0.0
3,6,1,1,0,9.5e-05,80,0.0,0.0
3,6,2,1,0,9.4e-05,80,0.0,0.0
3,6,3,1,0,9.5e-05,80,0.0,0.0
3,6,4,0,0,0.0,0,0.0,0.0
3,6,5,1,0,9.7e-05,80,0.0,0.0
3,6,6,0,0,0.0,0,0.0,0.0
3,6,7,1,1,0.0,0,0.0,0.0
3,6,8,0,0,0.0,0,0.0,0.0
3,6,9,0,0,0.0,0,0.0,0.0
3,6,0,1,0,0.0,0,2.43932,0.0
3,6,1,1,0,0.0,0,2.01144,0.0
3,6,2,1,0,0.0,0,1.862868,0.0
3,6,3,1,0,0.0,0,2.251122,0.0
3,6,5,1,0,0.0,0,7.577068,0.0
3,6,7,1,0,0.0,0,10.171454,0.0
3,7,0,1,0,9.9e-05,80,0.0,0.0
3,7,1,1,0,9.2e-05,80,0.0,0.0
3,7,2,1,0,9.1e-05,80,0.0,0.0
3,7,3,0,0,0.0,0,0.0,0.0
3,7,4,0,0,0.0,0,0.0,0.0
3,7,5,0,0,0.0,0,0.0,0.0
3,7,6,0,0,0.0,0,0.0,0.0
3,7,7,1,1,0.0,0,0.0,0.0
3,7,8,1,0,0.0001,80,0.0,0.0
3,7,9,1,0,9.8e-05,80,0.0,0.0
3,7,0,1,0,0.0,0,2.455318,0.0
3,7,1,1,0,0.0,0,2.032028,0.0
3,7,2,1,0,0.0,0,1.999831,0.0
3,7,7,1,0,0.0,0,9.509215,0.0
3,7,8,1,0,0.0,0,4.499536,0.0
3,7,9,1,0,0.0,0,3.946358,0.0
3,8,0,1,0,9.7e-05,80,0.0,0.0
3,8,1,0,0,0.0,0,0.0,0.0
3,8,2,0,0,0.0,0,0.0,0.0
3,8,3,1,0,9.4e-05,80,0.0,0.0
3,8,4,0,0,0.0,0,0.0,0.0
3,8,5,1,0,9.5e-05,80,0.0,0.0
3,8,6,1,1,0.0,0,0.0,0.0
3,8,7,1,0,9.5e-05,80,0.0,0.0
3,8,8,0,0,0.0,0,0.0,0.0
3,8,9,1,0,9.4e-05,80,0.0,0.0
3,8,0,1,0,0.0,0,2.532405,0.0
3,8,3,1,0,0.0,0,1.832532,0.0
3,8,5,1,0,0.0,0,8.906651,0.0
3,8,6,1,0,0.0,0,6.795784,0.0
3,8,7,1,0,0.0,0,9.259573,0.0
3,8,9,1,0,0.0,0,3.82756,0.0
3,9,0,1,0,9.1e-05,80,0.0,0.0
3,9,1,1,0,9.3e-05,80,0.0,0.0
3,9,2,0,0,0.0,0,0.0,0.0
3,9,3,0,0,0.0,0,0.0,0.0
3,9,4,1,1,0.0,0,0.0,0.0
3,9,5,0,0,0.0,0,0.0,0.0
3,9,6,0,0,0.0,0,0.0,0.0
3,9,7,1,1,0.0,0,0.0,0.0
3,9,8,1,0,0.000101,80,0.0,0.0
3,9,9,1,0,9.1e-05,80,0.0,0.0
3,9,0,1,0,0.0,0,2.731267,0.0
3,9,1,1,0,0.0,0,2.253783,0.0
3,9,4,1,0,0.0,0,2.826905,0.0
3,9,7,1,0,0.0,0,8.956666,0.0
3,9,8,1,0,0.0,0,3.73295,0.0
3,9,9,1,0,0.0,0,3.430307,0.0
3,10,0,0,0,0.0,0,0.0,0.0
3,10,1,0,0,0.0,0,0.0,0.0
